trait_no,try_no,kernel_name,nfolds,R2_test
37,9,1,10,0.287
37,10,1,10,0.291
37,1,2,10,0.279
37,2,2,10,0.283
37,3,2,10,0.295
37,4,2,10,0.294
37,5,2,10,0.287
37,6,2,10,0.288
37,7,2,10,0.293
37,8,2,10,0.28
37,9,2,10,0.291
37,10,2,10,0.296
38,1,1,10,0.439
38,2,1,10,0.447
38,3,1,10,0.428
38,4,1,10,0.455
38,5,1,10,0.44
38,6,1,10,0.442
38,7,1,10,0.436
38,8,1,10,0.446
38,9,1,10,0.448
38,10,1,10,0.437
38,1,2,10,0.451
38,2,2,10,0.457
38,3,2,10,0.45
38,4,2,10,0.466
38,5,2,10,0.457
38,6,2,10,0.459
38,7,2,10,0.452
38,8,2,10,0.464
38,9,2,10,0.455
38,10,2,10,0.451
39,1,1,10,0.206
39,2,1,10,0.212
39,3,1,10,0.211
39,4,1,10,0.224
39,5,1,10,0.204
39,6,1,10,0.201
39,7,1,10,0.215
39,8,1,10,0.217
39,9,1,10,0.211
39,10,1,10,0.214
39,1,2,10,0.494
39,2,2,10,0.515
39,3,2,10,0.493
39,4,2,10,0.512
39,5,2,10,0.49
39,6,2,10,0.509
39,7,2,10,0.5
39,8,2,10,0.505
39,9,2,10,0.504
39,10,2,10,0.496
40,1,1,10,0.178
40,2,1,10,0.166
40,3,1,10,0.168
40,4,1,10,0.18
40,5,1,10,0.175
40,6,1,10,0.172
40,7,1,10,0.167
40,8,1,10,0.163
40,9,1,10,0.164
40,10,1,10,0.164
40,1,2,10,0.004
40,2,2,10,0.003
40,3,2,10,0.008
40,4,2,10,0.007
40,5,2,10,0.013
40,6,2,10,0.015
40,7,2,10,0.003
40,8,2,10,0.008
40,9,2,10,0.006
40,10,2,10,0.001
41,1,1,10,0.315
41,2,1,10,0.313
41,3,1,10,0.32
41,4,1,10,0.299
41,5,1,10,0.323
41,6,1,10,0.31
41,7,1,10,0.323
41,8,1,10,0.313
41,9,1,10,0.327
41,10,1,10,0.304
41,1,2,10,0.021
41,2,2,10,0.01
41,3,2,10,0.048
41,4,2,10,0.033
41,5,2,10,0.006
41,6,2,10,0.023
41,7,2,10,0.048
41,8,2,10,0.031
41,9,2,10,0.03
41,10,2,10,0.043
42,1,1,10,0.258
42,2,1,10,0.25
42,3,1,10,0.244
42,4,1,10,0.266
42,5,1,10,0.255
42,6,1,10,0.245
42,7,1,10,0.254
42,8,1,10,0.254
42,9,1,10,0.251
42,10,1,10,0.259
42,1,2,10,0.494
42,2,2,10,0.494
42,3,2,10,0.488
42,4,2,10,0.511
42,5,2,10,0.506
42,6,2,10,0.489
42,7,2,10,0.496
42,8,2,10,0.497
42,9,2,10,0.486
42,10,2,10,0.505
43,1,1,10,0.3
43,2,1,10,0.313
43,3,1,10,0.272
43,4,1,10,0.332
43,5,1,10,0.297
43,6,1,10,0.274
43,7,1,10,0.306
43,8,1,10,0.307
43,9,1,10,0.334
43,10,1,10,0.319
43,1,2,10,0.002
43,2,2,10,0.006
43,3,2,10,0.008
43,4,2,10,0.001
43,5,2,10,0.002
43,6,2,10,0.015
43,7,2,10,0.006
43,8,2,10,0.001
43,9,2,10,0.004
43,10,2,10,0
44,1,1,10,0.558
44,2,1,10,0.552
44,3,1,10,0.556
44,4,1,10,0.561
44,5,1,10,0.561
44,6,1,10,0.549
44,7,1,10,0.555
44,8,1,10,0.551
44,9,1,10,0.545
44,10,1,10,0.566
44,1,2,10,0.259
44,2,2,10,0.193
44,3,2,10,0.053
44,4,2,10,0.399
44,5,2,10,0.225
44,6,2,10,0.245
44,7,2,10,0.223
44,8,2,10,0.223
44,9,2,10,0.428
44,10,2,10,0.225
45,1,1,10,0.389
45,2,1,10,0.391
45,3,1,10,0.389
45,4,1,10,0.404
45,5,1,10,0.391
45,6,1,10,0.403
45,7,1,10,0.389
45,8,1,10,0.402
45,9,1,10,0.406
45,10,1,10,0.394
45,1,2,10,0.341
45,2,2,10,0.37
45,3,2,10,0.387
45,4,2,10,0.378
45,5,2,10,0.393
45,6,2,10,0.418
45,7,2,10,0.378
45,8,2,10,0.354
45,9,2,10,0.42
45,10,2,10,0.41
46,1,1,10,0.458
46,2,1,10,0.445
46,3,1,10,0.454
46,4,1,10,0.44
46,5,1,10,0.453
46,6,1,10,0.456
46,7,1,10,0.459
46,8,1,10,0.447
46,9,1,10,0.45
46,10,1,10,0.46
46,1,2,10,0.253
46,2,2,10,0.355
46,3,2,10,0.321
46,4,2,10,0.356
46,5,2,10,0.311
46,6,2,10,0.337
46,7,2,10,0.249
46,8,2,10,0.242
46,9,2,10,0.246
46,10,2,10,0.255
1,1,23,10,0.005
1,2,23,10,0.005
1,3,23,10,0.009
1,4,23,10,0.01
1,5,23,10,0.012
1,6,23,10,0.011
1,7,23,10,0.005
1,8,23,10,0.007
1,9,23,10,0.01
1,10,23,10,0.005
2,1,23,10,0.007
2,2,23,10,0.011
2,3,23,10,0.01
2,4,23,10,0.006
2,5,23,10,0.012
2,6,23,10,0.007
2,7,23,10,0.003
2,8,23,10,0.008
2,9,23,10,0.008
2,10,23,10,0.005
3,1,23,10,0.008
3,2,23,10,0.01
3,3,23,10,0.001
3,4,23,10,0.002
3,5,23,10,0.003
3,6,23,10,0.002
3,7,23,10,0.003
3,8,23,10,0.005
3,9,23,10,0.006
3,10,23,10,0.001
4,1,23,10,0.004
4,2,23,10,0.007
4,3,23,10,0.002
4,4,23,10,0.009
4,5,23,10,0.007
4,6,23,10,0.001
4,7,23,10,0.007
4,8,23,10,0.006
4,9,23,10,0.007
4,10,23,10,0
5,1,23,10,0.005
5,2,23,10,0.005
5,3,23,10,0.017
5,4,23,10,0.008
5,5,23,10,0.002
5,6,23,10,0.006
5,7,23,10,0.003
5,8,23,10,0.014
5,9,23,10,0.003
5,10,23,10,0.002
6,1,23,10,0.109
6,2,23,10,0.14
6,3,23,10,0.134
6,4,23,10,0.095
6,5,23,10,0.118
6,6,23,10,0.138
6,7,23,10,0.131
6,8,23,10,0.103
6,9,23,10,0.14
6,10,23,10,0.101
7,1,23,10,0.011
7,2,23,10,0.004
7,3,23,10,0.008
7,4,23,10,0.01
7,5,23,10,0.004
7,6,23,10,0.003
7,7,23,10,0.01
7,8,23,10,0.007
7,9,23,10,0.002
7,10,23,10,0.006
8,1,23,10,0.001
8,2,23,10,0.001
8,3,23,10,0
8,4,23,10,0.003
8,5,23,10,0
8,6,23,10,0.001
8,7,23,10,0.012
8,8,23,10,0.002
8,9,23,10,0.001
8,10,23,10,0.001
9,1,23,10,0.012
9,2,23,10,0.006
9,3,23,10,0.001
9,4,23,10,0.002
9,5,23,10,0.007
9,6,23,10,0.028
9,7,23,10,0.008
9,8,23,10,0.006
9,9,23,10,0.008
9,10,23,10,0.003
10,1,23,10,0.005
10,2,23,10,0.006
10,3,23,10,0.007
10,4,23,10,0.005
10,5,23,10,0.007
10,6,23,10,0.004
10,7,23,10,0.01
10,8,23,10,0.006
10,9,23,10,0.004
10,10,23,10,0.005
11,1,23,10,0.005
11,2,23,10,0.009
11,3,23,10,0.003
11,4,23,10,0.007
11,5,23,10,0.008
11,6,23,10,0.005
11,7,23,10,0.011
11,8,23,10,0.005
11,9,23,10,0.002
11,10,23,10,0.006
12,1,23,10,0.004
12,2,23,10,0.004
12,3,23,10,0.003
12,4,23,10,0.002
12,5,23,10,0.006
12,6,23,10,0.003
12,7,23,10,0.006
12,8,23,10,0.007
12,9,23,10,0.013
12,10,23,10,0.004
13,1,23,10,0.054
13,2,23,10,0.059
13,3,23,10,0.058
13,4,23,10,0.059
13,5,23,10,0.052
13,6,23,10,0.068
13,7,23,10,0.057
13,8,23,10,0.05
13,9,23,10,0.051
13,10,23,10,0.07
14,1,23,10,0.017
14,2,23,10,0.002
14,3,23,10,0.001
14,4,23,10,0.005
14,5,23,10,0.002
14,6,23,10,0.007
14,7,23,10,0.007
14,8,23,10,0.003
14,9,23,10,0.004
14,10,23,10,0.004
15,1,23,10,0.004
15,2,23,10,0.009
15,3,23,10,0.004
15,4,23,10,0.005
15,5,23,10,0.007
15,6,23,10,0.005
15,7,23,10,0.001
15,8,23,10,0.005
15,9,23,10,0.002
15,10,23,10,0.001
16,1,23,10,0.008
16,2,23,10,0.008
16,3,23,10,0.002
16,4,23,10,0.001
16,5,23,10,0.004
16,6,23,10,0.006
16,7,23,10,0.007
16,8,23,10,0.008
16,9,23,10,0.005
16,10,23,10,0.001
17,1,23,10,0.01
17,2,23,10,0.001
17,3,23,10,0.006
17,4,23,10,0.01
17,5,23,10,0.007
17,6,23,10,0.01
17,7,23,10,0.018
17,8,23,10,0.004
17,9,23,10,0.004
17,10,23,10,0.009
18,1,23,10,0.057
18,2,23,10,0.091
18,3,23,10,0.092
18,4,23,10,0.126
18,5,23,10,0.06
18,6,23,10,0.07
18,7,23,10,0.061
18,8,23,10,0.14
18,9,23,10,0.119
18,10,23,10,0.079
19,1,23,10,0.005
19,2,23,10,0.01
19,3,23,10,0.009
19,4,23,10,0.001
19,5,23,10,0.007
19,6,23,10,0.003
